year,month,customer class,value
2025,9,TOTAL IRES TIERS,39989
2025,9,TOTAL IRR (POTABLE + NP IRR),45429
2025,10,ICOMM,24625
2025,10,IMULT,14427
2025,10,NP IRR,6660
2025,10,OCOMM,25
2025,10,ORES,62
2025,10,POTABLE IRR,11827
2025,10,TOTAL IRES TIERS,25974
2025,10,TOTAL IRR (POTABLE + NP IRR),18487
2025,11,ICOMM,18567
2025,11,IMULT,12981
2025,11,NP IRR,3265
2025,11,OCOMM,29
2025,11,ORES,44
2025,11,POTABLE IRR,2068
2025,11,TOTAL IRES TIERS,17032
2025,11,TOTAL IRR (POTABLE + NP IRR),5333
2025,12,ICOMM,16060
2025,12,IMULT,13555
2025,12,NP IRR,0
2025,12,OCOMM,30
2025,12,ORES,19
2025,12,POTABLE IRR,314
2025,12,TOTAL IRES TIERS,12605
2025,12,TOTAL IRR (POTABLE + NP IRR),314
